1,valid,,0.12677,0.15154,0.20126,0.1697,0.3068,0.20286
1,test,,0.12513,0.26784,0.1989,0.26519,0.30224,0.28501
2,valid,,0.14008,0.16504,0.22165,0.18512,0.33264,0.22072
2,test,,0.13899,0.28978,0.21869,0.28741,0.32787,0.30815
3,valid,,0.14609,0.17125,0.2294,0.19184,0.34432,0.22863
3,test,,0.14494,0.29867,0.22735,0.29687,0.33999,0.31854
4,valid,,0.15032,0.17483,0.23517,0.19597,0.34896,0.23258
4,test,,0.1491,0.30469,0.2316,0.30202,0.34636,0.3242
5,valid,,0.15185,0.17635,0.23779,0.19798,0.355,0.23559
5,test,,0.15082,0.30733,0.23535,0.3059,0.35123,0.32836
6,valid,,0.15449,0.17809,0.23986,0.19958,0.35986,0.23834
6,test,,0.15232,0.31073,0.23821,0.3093,0.35466,0.33182
7,valid,,0.15631,0.1801,0.24131,0.20138,0.36098,0.24007
7,test,,0.15433,0.3123,0.24164,0.31158,0.35757,0.33382
8,valid,,0.15665,0.18068,0.24365,0.20262,0.36308,0.24145
8,test,,0.15491,0.31397,0.24277,0.31318,0.35948,0.3359
9,valid,,0.15791,0.18229,0.24695,0.20509,0.36492,0.24329
9,test,,0.15606,0.31575,0.24325,0.31432,0.36194,0.33788
10,valid,,0.15882,0.18247,0.24753,0.20518,0.36631,0.24356
10,test,,0.15662,0.31647,0.24551,0.31575,0.36334,0.33902
11,valid,,0.15859,0.18237,0.24786,0.20551,0.36707,0.2442
11,test,,0.15795,0.31756,0.24692,0.31691,0.36462,0.34
12,valid,,0.15947,0.18331,0.24777,0.20595,0.36848,0.24511
12,test,,0.15782,0.31794,0.24726,0.3174,0.36594,0.34118
13,valid,,0.16052,0.18362,0.24905,0.20617,0.36861,0.24511
13,test,,0.15824,0.31791,0.24849,0.31814,0.36675,0.34164
14,valid,,0.16065,0.18402,0.24879,0.20657,0.36978,0.24581
14,test,,0.15906,0.31845,0.24906,0.3186,0.36817,0.34235
15,valid,,0.16056,0.18367,0.25013,0.20686,0.37082,0.24604
15,test,,0.15968,0.31947,0.24883,0.31908,0.36874,0.34299
16,valid,,0.16156,0.18464,0.25036,0.20769,0.37074,0.2468
16,test,,0.15961,0.31953,0.24965,0.3196,0.36962,0.34352
17,valid,,0.16117,0.18434,0.2517,0.20785,0.37246,0.24716
17,test,,0.15979,0.31954,0.24995,0.31962,0.36962,0.34362
18,valid,,0.16192,0.18471,0.25108,0.20788,0.3725,0.24733
18,test,,0.15988,0.31933,0.25075,0.31962,0.37033,0.34383
19,valid,,0.16254,0.18431,0.2518,0.20753,0.37275,0.247
19,test,,0.16149,0.32074,0.25142,0.32053,0.37099,0.34439
20,valid,,0.16154,0.1845,0.25303,0.20846,0.37302,0.24757
20,test,,0.16082,0.32048,0.25142,0.32061,0.37097,0.3446
21,valid,,0.1627,0.18467,0.25361,0.20865,0.37324,0.24761
21,test,,0.16103,0.32125,0.25138,0.32129,0.37157,0.34528
22,valid,,0.1627,0.18468,0.25299,0.20813,0.37318,0.24739
22,test,,0.16072,0.32028,0.25205,0.3209,0.37176,0.34523
23,valid,,0.16254,0.18499,0.25385,0.20892,0.3731,0.24787
23,test,,0.16107,0.32063,0.252,0.32088,0.37232,0.34548
24,valid,,0.16273,0.18466,0.25262,0.20836,0.37361,0.24777
24,test,,0.16132,0.32035,0.25186,0.32074,0.37199,0.34528
25,valid,,0.16272,0.18506,0.25324,0.20855,0.37377,0.2479
25,test,,0.16171,0.3209,0.25231,0.32122,0.37298,0.34595
26,valid,,0.16214,0.18481,0.25346,0.2087,0.37522,0.24833
26,test,,0.16163,0.32041,0.25291,0.32124,0.37324,0.34578
27,valid,,0.16257,0.18477,0.25321,0.20834,0.37459,0.24803
27,test,,0.16191,0.3209,0.25324,0.32155,0.37337,0.34602
28,valid,,0.16274,0.18533,0.25384,0.20921,0.37564,0.24897
28,test,,0.16207,0.32078,0.25328,0.32147,0.37324,0.34588
29,valid,,0.16332,0.18539,0.25379,0.20907,0.37593,0.24883
29,test,,0.16202,0.32094,0.25369,0.32151,0.37296,0.34581
30,valid,,0.16228,0.18493,0.2543,0.20909,0.37485,0.24842
30,test,,0.16228,0.32076,0.25365,0.32156,0.3737,0.346
31,valid,,0.16378,0.18561,0.25443,0.20929,0.37593,0.24897
31,test,,0.16216,0.32101,0.25353,0.32169,0.37347,0.34612
32,valid,,0.1632,0.18524,0.25489,0.2094,0.37624,0.2489
32,test,,0.16249,0.32091,0.25336,0.32135,0.37375,0.34592
33,valid,,0.16368,0.18564,0.25491,0.20954,0.37627,0.24891
33,test,,0.1625,0.32103,0.25426,0.32196,0.37361,0.34617
34,valid,,0.16412,0.18573,0.25452,0.20942,0.37604,0.24892
34,test,,0.16215,0.32092,0.25436,0.32206,0.37408,0.34647
35,valid,,0.16311,0.18542,0.25449,0.20956,0.37689,0.24932
35,test,,0.16279,0.32073,0.25389,0.32171,0.37447,0.34644
36,valid,,0.16356,0.18546,0.2543,0.20936,0.37586,0.24881
36,test,,0.16191,0.32012,0.25382,0.32144,0.3745,0.34625
37,valid,,0.16355,0.18546,0.25481,0.20944,0.37662,0.2491
37,test,,0.16252,0.32071,0.2548,0.32202,0.37462,0.34637
38,valid,,0.16344,0.18572,0.25418,0.20929,0.37696,0.24929
38,test,,0.16275,0.3209,0.25455,0.32208,0.37482,0.34657
39,valid,,0.16344,0.1857,0.25482,0.20942,0.37593,0.24888
39,test,,0.16236,0.32044,0.25413,0.32168,0.3745,0.34638
40,valid,,0.16312,0.18505,0.2557,0.20943,0.3773,0.24904
40,test,,0.16288,0.32065,0.25414,0.32155,0.37492,0.34648
41,valid,,0.16348,0.18539,0.25526,0.20985,0.37742,0.24939
41,test,,0.16307,0.32053,0.25442,0.32152,0.37457,0.34624
42,valid,,0.16339,0.18581,0.25525,0.20973,0.37667,0.24915
42,test,,0.16281,0.32022,0.25462,0.32173,0.3749,0.34658
43,valid,,0.16355,0.18545,0.25557,0.20942,0.37702,0.249
43,test,,0.16233,0.32,0.25486,0.32174,0.37436,0.34626
44,valid,,0.1642,0.18587,0.25526,0.2096,0.37711,0.24913
44,test,,0.16262,0.31987,0.2546,0.32176,0.37463,0.34637
45,valid,,0.163,0.18511,0.256,0.20971,0.37715,0.24922
45,test,,0.163,0.3202,0.25456,0.32151,0.37492,0.34638
46,valid,,0.16365,0.18521,0.25577,0.20948,0.377,0.24908
46,test,,0.1634,0.32053,0.2542,0.32144,0.37484,0.34631
47,valid,,0.16297,0.18477,0.25583,0.20935,0.377,0.24895
47,test,,0.16362,0.32073,0.2547,0.32141,0.37446,0.34604
48,valid,,0.16327,0.18521,0.25562,0.2093,0.37708,0.24891
48,test,,0.16359,0.3205,0.25472,0.32175,0.37485,0.34642
49,valid,,0.16341,0.18521,0.25643,0.20949,0.37687,0.24886
49,test,,0.16363,0.32013,0.25457,0.32157,0.37506,0.34631
50,valid,,0.16304,0.18487,0.25581,0.20922,0.37664,0.24867
50,test,,0.16336,0.31993,0.25516,0.32176,0.37453,0.3461
51,valid,,0.16314,0.18479,0.25672,0.20968,0.37742,0.24889
51,test,,0.1634,0.3203,0.25502,0.32166,0.37464,0.34626
